t,id,x,y,dx,dy,dt
0.0,1.0,1.41,-5.68,,,
0.0,2.0,0.51,-6.94,,,
0.0,3.0,2.3,-4.59,,,
0.0,4.0,2.74,-2.5,,,
0.0,5.0,-1.59,0.93,,,
0.0,6.0,-1.72,1.32,,,
0.0,7.0,-2.45,2.26,,,
0.0,8.0,-1.45,-0.76,,,
0.0,9.0,1.16,-8.54,,,
0.0,10.0,-0.11,-9.9,,,
10.0,1.0,1.28,-6.35,-0.1299999999999999,-0.6699999999999999,1.0
10.0,2.0,0.55,-7.59,0.040000000000000036,-0.6499999999999995,1.0
10.0,3.0,1.94,-4.12,-0.3599999999999999,0.46999999999999975,1.0
10.0,4.0,2.76,-1.77,0.019999999999999574,0.73,1.0
10.0,5.0,-1.59,0.93,0.0,0.0,1.0
10.0,6.0,-1.72,1.32,0.0,0.0,1.0
10.0,7.0,-2.43,2.46,0.020000000000000018,0.20000000000000018,1.0
10.0,8.0,-1.45,-0.76,0.0,0.0,1.0
10.0,9.0,1.18,-9.17,0.020000000000000018,-0.6300000000000008,1.0
10.0,10.0,-0.1,-9.88,0.009999999999999995,0.019999999999999574,1.0
20.0,3.0,1.53,-3.49,-0.4099999999999999,0.6299999999999999,1.0
20.0,4.0,2.73,-1.07,-0.029999999999999805,0.7,1.0
20.0,5.0,-1.59,0.93,0.0,0.0,1.0
20.0,6.0,-1.72,1.32,0.0,0.0,1.0
20.0,7.0,-2.43,2.59,0.0,0.1299999999999999,1.0
20.0,8.0,-1.45,-0.76,0.0,0.0,1.0
30.0,3.0,1.14,-2.99,-0.3900000000000001,0.5,1.0
30.0,4.0,2.73,-0.42,0.0,0.6500000000000001,1.0
30.0,5.0,-1.59,0.93,0.0,0.0,1.0
30.0,6.0,-1.72,1.32,0.0,0.0,1.0
30.0,7.0,-2.38,2.82,0.050000000000000266,0.22999999999999998,1.0
30.0,8.0,-1.45,-0.76,0.0,0.0,1.0
40.0,3.0,0.84,-2.46,-0.29999999999999993,0.5300000000000002,1.0
40.0,4.0,2.71,0.34,-0.020000000000000018,0.76,1.0
40.0,5.0,-1.59,0.93,0.0,0.0,1.0
40.0,6.0,-1.72,1.32,0.0,0.0,1.0
40.0,7.0,-2.41,3.35,-0.03000000000000025,0.5300000000000002,1.0
40.0,8.0,-1.45,-0.76,0.0,0.0,1.0
50.0,3.0,0.45,-2.0,-0.38999999999999996,0.45999999999999996,1.0
50.0,4.0,2.63,0.94,-0.08000000000000007,0.5999999999999999,1.0
50.0,5.0,-1.59,0.93,0.0,0.0,1.0
50.0,6.0,-1.72,1.32,0.0,0.0,1.0
50.0,7.0,-2.41,3.76,0.0,0.4099999999999997,1.0
50.0,8.0,-1.45,-0.76,0.0,0.0,1.0
60.0,3.0,0.17,-1.52,-0.28,0.48,1.0
60.0,4.0,2.59,1.68,-0.040000000000000036,0.74,1.0
60.0,5.0,-1.59,0.93,0.0,0.0,1.0
60.0,6.0,-1.72,1.32,0.0,0.0,1.0
60.0,8.0,-1.45,-0.76,0.0,0.0,1.0
70.0,3.0,-0.1,-0.97,-0.27,0.55,1.0
70.0,4.0,2.53,2.24,-0.06000000000000005,0.5600000000000003,1.0
70.0,5.0,-1.59,0.93,0.0,0.0,1.0
70.0,6.0,-1.72,1.32,0.0,0.0,1.0
70.0,8.0,-1.45,-0.76,0.0,0.0,1.0
80.0,3.0,-0.34,-0.39,-0.24000000000000002,0.58,1.0
80.0,5.0,-1.59,0.93,0.0,0.0,1.0
80.0,6.0,-1.72,1.32,0.0,0.0,1.0
80.0,8.0,-1.45,-0.76,0.0,0.0,1.0
90.0,3.0,-0.55,0.19,-0.21000000000000002,0.5800000000000001,1.0
90.0,5.0,-1.59,0.93,0.0,0.0,1.0
90.0,6.0,-1.72,1.32,0.0,0.0,1.0
90.0,8.0,-1.45,-0.76,0.0,0.0,1.0
100.0,3.0,-0.76,0.73,-0.20999999999999996,0.54,1.0
100.0,5.0,-1.59,0.93,0.0,0.0,1.0
100.0,6.0,-1.72,1.32,0.0,0.0,1.0
100.0,8.0,-1.45,-0.76,0.0,0.0,1.0
110.0,3.0,-0.94,1.21,-0.17999999999999994,0.48,1.0
110.0,5.0,-1.59,0.93,0.0,0.0,1.0
110.0,6.0,-1.7,1.32,0.020000000000000018,0.0,1.0
110.0,8.0,-1.45,-0.76,0.0,0.0,1.0
120.0,3.0,-1.19,1.79,-0.25,0.5800000000000001,1.0
120.0,5.0,-1.59,0.93,0.0,0.0,1.0
120.0,6.0,-1.7,1.32,0.0,0.0,1.0
120.0,8.0,-1.45,-0.76,0.0,0.0,1.0
130.0,3.0,-1.46,2.17,-0.27,0.3799999999999999,1.0
130.0,5.0,-1.59,0.93,0.0,0.0,1.0
130.0,6.0,-1.7,1.32,0.0,0.0,1.0
130.0,8.0,-1.45,-0.76,0.0,0.0,1.0
140.0,5.0,-1.59,0.93,0.0,0.0,1.0
140.0,6.0,-1.7,1.32,0.0,0.0,1.0
140.0,8.0,-1.45,-0.76,0.0,0.0,1.0
140.0,11.0,0.4,2.98,,,
140.0,12.0,1.25,2.85,,,
140.0,13.0,1.01,3.82,,,
150.0,5.0,-1.59,0.93,0.0,0.0,1.0
150.0,6.0,-1.7,1.32,0.0,0.0,1.0
150.0,8.0,-1.45,-0.76,0.0,0.0,1.0
150.0,11.0,0.34,2.2,-0.06,-0.7799999999999998,1.0
150.0,12.0,1.33,2.64,0.08000000000000007,-0.20999999999999996,1.0
150.0,13.0,0.9,3.5,-0.10999999999999999,-0.31999999999999984,1.0
160.0,5.0,-1.59,0.93,0.0,0.0,1.0
160.0,6.0,-1.7,1.32,0.0,0.0,1.0
160.0,8.0,-1.45,-0.76,0.0,0.0,1.0
160.0,11.0,0.34,1.36,0.0,-0.8400000000000001,1.0
160.0,12.0,1.36,2.36,0.030000000000000027,-0.28000000000000025,1.0
160.0,13.0,0.76,3.12,-0.14,-0.3799999999999999,1.0
170.0,5.0,-1.59,0.93,0.0,0.0,1.0
170.0,6.0,-1.7,1.32,0.0,0.0,1.0
170.0,8.0,-1.45,-0.76,0.0,0.0,1.0
170.0,11.0,0.4,0.55,0.06,-0.81,1.0
170.0,12.0,1.34,1.98,-0.020000000000000018,-0.3799999999999999,1.0
170.0,13.0,0.74,2.59,-0.020000000000000018,-0.5300000000000002,1.0
170.0,14.0,4.0,-2.41,,,
170.0,15.0,3.13,-2.31,,,
170.0,16.0,3.58,-5.93,,,
180.0,5.0,-1.59,0.93,0.0,0.0,1.0
180.0,6.0,-1.7,1.32,0.0,0.0,1.0
180.0,8.0,-1.51,-0.65,-0.06000000000000005,0.10999999999999999,1.0
180.0,11.0,0.42,-0.3,0.019999999999999962,-0.8500000000000001,1.0
180.0,12.0,1.38,1.5,0.039999999999999813,-0.48,1.0
180.0,13.0,0.74,2.0,0.0,-0.5899999999999999,1.0
180.0,14.0,3.99,-1.8,-0.009999999999999787,0.6100000000000001,1.0
180.0,15.0,3.14,-1.8,0.010000000000000231,0.51,1.0
180.0,16.0,3.44,-5.17,-0.14000000000000012,0.7599999999999998,1.0
190.0,5.0,-1.59,0.93,0.0,0.0,1.0
190.0,6.0,-1.7,1.32,0.0,0.0,1.0
190.0,8.0,-1.45,-0.74,0.06000000000000005,-0.08999999999999997,1.0
190.0,11.0,0.49,-1.14,0.07,-0.8399999999999999,1.0
190.0,12.0,1.4,0.97,0.020000000000000018,-0.53,1.0
190.0,13.0,0.76,1.39,0.020000000000000018,-0.6100000000000001,1.0
190.0,14.0,3.92,-1.35,-0.07000000000000028,0.44999999999999996,1.0
190.0,15.0,3.13,-1.3,-0.010000000000000231,0.5,1.0
190.0,16.0,3.35,-4.43,-0.08999999999999986,0.7400000000000002,1.0
200.0,5.0,-1.59,0.93,0.0,0.0,1.0
200.0,6.0,-1.7,1.32,0.0,0.0,1.0
200.0,8.0,-1.45,-0.76,0.0,-0.020000000000000018,1.0
200.0,11.0,0.53,-1.97,0.040000000000000036,-0.8300000000000001,1.0
200.0,12.0,1.35,0.35,-0.04999999999999982,-0.62,1.0
200.0,13.0,0.78,0.77,0.020000000000000018,-0.6199999999999999,1.0
200.0,14.0,3.9,-0.88,-0.020000000000000018,0.4700000000000001,1.0
200.0,15.0,3.09,-0.81,-0.040000000000000036,0.49,1.0
200.0,16.0,3.25,-3.64,-0.10000000000000009,0.7899999999999996,1.0
210.0,5.0,-1.59,0.93,0.0,0.0,1.0
210.0,6.0,-1.7,1.32,0.0,0.0,1.0
210.0,8.0,-1.55,-0.65,-0.10000000000000009,0.10999999999999999,1.0
210.0,11.0,0.58,-2.8,0.04999999999999993,-0.8299999999999998,1.0
210.0,12.0,1.38,-0.29,0.029999999999999805,-0.6399999999999999,1.0
210.0,13.0,0.77,0.1,-0.010000000000000009,-0.67,1.0
210.0,14.0,3.89,-0.4,-0.009999999999999787,0.48,1.0
210.0,15.0,3.09,-0.32,0.0,0.49000000000000005,1.0
210.0,16.0,3.15,-2.85,-0.10000000000000009,0.79,1.0
220.0,5.0,-1.59,0.93,0.0,0.0,1.0
220.0,6.0,-1.7,1.32,0.0,0.0,1.0
220.0,8.0,-1.52,-0.61,0.030000000000000027,0.040000000000000036,1.0
220.0,11.0,0.6,-3.7,0.020000000000000018,-0.9000000000000004,1.0
220.0,12.0,1.32,-0.92,-0.05999999999999983,-0.6300000000000001,1.0
220.0,13.0,0.75,-0.6,-0.020000000000000018,-0.7,1.0
220.0,14.0,3.82,0.08,-0.07000000000000028,0.48000000000000004,1.0
220.0,15.0,3.11,0.13,0.020000000000000018,0.45,1.0
220.0,16.0,3.13,-2.04,-0.020000000000000018,0.81,1.0
230.0,5.0,-1.59,0.93,0.0,0.0,1.0
230.0,6.0,-1.7,1.32,0.0,0.0,1.0
230.0,8.0,-1.45,-0.74,0.07000000000000006,-0.13,1.0
230.0,11.0,0.74,-4.63,0.14,-0.9299999999999997,1.0
230.0,12.0,1.29,-1.63,-0.030000000000000027,-0.7099999999999999,1.0
230.0,13.0,0.72,-1.32,-0.030000000000000027,-0.7200000000000001,1.0
230.0,14.0,3.8,0.57,-0.020000000000000018,0.48999999999999994,1.0
230.0,15.0,3.11,0.62,0.0,0.49,1.0
230.0,16.0,3.0,-1.24,-0.1299999999999999,0.8,1.0
230.0,17.0,1.42,-8.27,,,
230.0,18.0,3.29,-6.77,,,
240.0,5.0,-1.6,0.93,-0.010000000000000009,0.0,1.0
240.0,6.0,-1.72,1.32,-0.020000000000000018,0.0,1.0
240.0,8.0,-1.45,-0.76,0.0,-0.020000000000000018,1.0
240.0,11.0,0.71,-5.59,-0.030000000000000027,-0.96,1.0
240.0,12.0,1.3,-2.37,0.010000000000000009,-0.7400000000000002,1.0
240.0,13.0,0.7,-2.13,-0.020000000000000018,-0.8099999999999998,1.0
240.0,14.0,3.79,1.05,-0.009999999999999787,0.4800000000000001,1.0
240.0,15.0,3.13,1.12,0.020000000000000018,0.5000000000000001,1.0
240.0,16.0,2.87,-0.36,-0.1299999999999999,0.88,1.0
240.0,17.0,1.55,-7.52,0.13000000000000012,0.75,1.0
240.0,18.0,3.29,-6.04,0.0,0.7299999999999995,1.0
250.0,5.0,-1.61,0.93,-0.010000000000000009,0.0,1.0
250.0,6.0,-1.72,1.32,0.0,0.0,1.0
250.0,8.0,-1.45,-0.76,0.0,0.0,1.0
250.0,11.0,0.7,-6.39,-0.010000000000000009,-0.7999999999999998,1.0
250.0,12.0,1.26,-3.13,-0.040000000000000036,-0.7599999999999998,1.0
250.0,13.0,0.72,-2.9,0.020000000000000018,-0.77,1.0
250.0,14.0,3.78,1.47,-0.010000000000000231,0.41999999999999993,1.0
250.0,15.0,3.12,1.58,-0.009999999999999787,0.45999999999999996,1.0
250.0,16.0,2.74,0.34,-0.1299999999999999,0.7,1.0
250.0,17.0,1.66,-6.71,0.10999999999999988,0.8099999999999996,1.0
250.0,18.0,3.24,-5.34,-0.04999999999999982,0.7000000000000002,1.0
260.0,11.0,0.74,-7.26,0.040000000000000036,-0.8700000000000001,1.0
260.0,12.0,1.24,-3.9,-0.020000000000000018,-0.77,1.0
260.0,13.0,0.69,-3.56,-0.030000000000000027,-0.6600000000000001,1.0
260.0,14.0,3.72,1.99,-0.05999999999999961,0.52,1.0
260.0,15.0,3.08,2.03,-0.040000000000000036,0.44999999999999973,1.0
260.0,16.0,2.62,1.08,-0.1200000000000001,0.74,1.0
260.0,17.0,1.86,-5.89,0.20000000000000018,0.8200000000000003,1.0
260.0,18.0,3.25,-4.66,0.009999999999999787,0.6799999999999997,1.0
270.0,11.0,0.8,-8.15,0.06000000000000005,-0.8900000000000006,1.0
270.0,12.0,1.23,-4.67,-0.010000000000000009,-0.77,1.0
270.0,13.0,0.69,-4.31,0.0,-0.7499999999999996,1.0
270.0,14.0,3.71,2.45,-0.010000000000000231,0.4600000000000002,1.0
270.0,15.0,3.1,2.46,0.020000000000000018,0.43000000000000016,1.0
270.0,16.0,2.48,1.83,-0.14000000000000012,0.75,1.0
270.0,17.0,1.93,-5.09,0.06999999999999984,0.7999999999999998,1.0
270.0,18.0,3.24,-3.93,-0.009999999999999787,0.73,1.0
280.0,11.0,0.83,-9.02,0.029999999999999916,-0.8699999999999992,1.0
280.0,12.0,1.24,-5.45,0.010000000000000009,-0.7800000000000002,1.0
280.0,13.0,0.68,-5.1,-0.009999999999999898,-0.79,1.0
280.0,14.0,3.7,2.92,-0.009999999999999787,0.46999999999999975,1.0
